id,value
apache,
apache.LoggerPatternConverter,
apache.LoggerPatternConverter.org-apache-logging-log4j-core-pattern-NamePatternConverter,100
apache.LoggerPatternConverter.org-apache-logging-log4j-core-LogEvent,100
apache.LoggerPatternConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.LoggerPatternConverter.org-apache-logging-log4j-core-pattern-ConverterKeys,100
apache.Blackhole_jmh,
apache.Blackhole_jmh.org-openjdk-jmh-infra-generated-Blackhole_jmh_B3,100
apache.LogFactoryImpl,
apache.LogFactoryImpl.org-apache-logging-log4j-jcl-LogAdapter,100
apache.LogFactoryImpl.org-apache-commons-logging-Log,100
apache.LogFactoryImpl.org-apache-commons-logging-LogFactory,100
apache.LogFactoryImpl.org-apache-logging-log4j-spi-LoggerAdapter,100
apache.LogFactoryImpl.org-apache-commons-logging-LogConfigurationException,100
apache.HtmlLayout,
apache.HtmlLayout.org-apache-logging-log4j-core-layout-HtmlLayout$Builder,100
apache.HtmlLayout.org-apache-logging-log4j-core-layout-AbstractStringLayout,100
apache.HtmlLayout.org-apache-logging-log4j-core-layout-HtmlLayout$1,100
apache.HtmlLayout.org-apache-logging-log4j-core-layout-HtmlLayout$FontSize,100
apache.HtmlLayout.org-apache-logging-log4j-core-LogEvent,100
apache.HtmlLayout.org-apache-logging-log4j-core-config-plugins-PluginFactory,100
apache.HtmlLayout.org-apache-logging-log4j-core-config-plugins-PluginAttribute,100
apache.HtmlLayout.org-apache-logging-log4j-core-config-plugins-PluginBuilderFactory,100
apache.HtmlLayout.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.HtmlLayout.org-apache-logging-log4j-core-util-Constants,100
apache.HtmlLayout.org-apache-logging-log4j-core-util-Transform,100
apache.HtmlLayout.org-apache-logging-log4j-Level,100
apache.HtmlLayout.org-apache-logging-log4j-message-Message,100
apache.HtmlLayout.org-apache-logging-log4j-ThreadContext$ContextStack,100
apache.HtmlLayout.org-apache-logging-log4j-ThreadContext,100
apache.IoBuilder,
apache.IoBuilder.org-apache-logging-log4j-spi-ExtendedLogger,100
