id,value
apache,
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4),
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*pattern*NamePatternConverter,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*LogEvent,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*config*plugins*Plugin,100
apache.org*apache*logging*log4j*core*pattern*LoggerPatternConverter(4).org*apache*logging*log4j*core*pattern*ConverterKeys,100
apache.org*apache*logging*log4j*core*config*ConfigurationScheduler$CronRunnable(4),
apache.org*apache*logging*log4j*core*config*ConfigurationScheduler$CronRunnable(4).org*apache*logging*log4j*core*util*CronExpression,100
apache.org*apache*logging*log4j*core*config*ConfigurationScheduler$CronRunnable(4).org*apache*logging*log4j*core*config*CronScheduledFuture,100
apache.org*apache*logging*log4j*core*config*ConfigurationScheduler$CronRunnable(4).org*apache*logging*log4j*core*config*ConfigurationScheduler,100
apache.org*apache*logging*log4j*core*config*ConfigurationScheduler$CronRunnable(4).org*apache*logging*log4j*Logger,100
apache.org*openjdk*jmh*infra*generated*Blackhole_jmh(1),
apache.org*openjdk*jmh*infra*generated*Blackhole_jmh(1).org*openjdk*jmh*infra*generated*Blackhole_jmh_B3,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16),
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*appender*mom*kafka*KafkaManager,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*layout*SerializedLayout,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*appender*AppenderLoggingException,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*appender*AbstractAppender,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*Layout,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*Filter,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*config*Property,100
apache.org*apache*logging*log4j*core*appender*mom*kafka*KafkaAppender(16).org*apache*logging*log4j*core*config*plugins*PluginFactory,100
